告警开始时间,基站名称,告警名称
2020-03-16 12:11:00,ACZDoAAEUAAAdoKAHu,X2接口故障告警
2020-03-17 08:01:57,ACZDoAAEUAAAdoKAHu,X2接口故障告警
2020-03-17 12:38:15,ACZDoAAEUAAAdoKAHu,X2接口故障告警
2020-03-17 17:07:49,ACZDoAAEUAAAdoKAHu,X2接口故障告警
2020-03-17 19:09:41,ACZDoAAEUAAAdoKAHu,X2接口故障告警
2020-03-17 19:55:18,ACZDoAAEUAAAdoKAHu,X2接口故障告警
2020-03-17 20:23:19,ACZDoAAEUAAAdoKAHu,X2接口故障告警
2020-03-17 20:43:03,ACZDoAAEUAAAdoKAHu,X2接口故障告警
2020-03-17 20:54:33,ACZDoAAEUAAAdoKAHu,X2接口故障告警
2020-03-17 20:56:10,ACZDoAAEUAAAdoKAHu,X2接口故障告警
2020-03-17 21:14:14,ACZDoAAEUAAAdoKAHu,X2接口故障告警
2020-03-17 21:21:48,ACZDoAAEUAAAdoKAHu,X2接口故障告警
2020-03-17 21:23:21,ACZDoAAEUAAAdoKAHu,X2接口故障告警
2020-03-17 21:43:20,ACZDoAAEUAAAdoKAHu,X2接口故障告警
2020-03-17 22:05:06,ACZDoAAEUAAAdoKAHu,X2接口故障告警
2020-03-17 22:15:17,ACZDoAAEUAAAdoKAHu,X2接口故障告警
2020-03-17 22:16:47,ACZDoAAEUAAAdoKAHu,X2接口故障告警
2020-03-17 22:34:02,ACZDoAAEUAAAdoKAHu,X2接口故障告警
2020-03-17 22:52:30,ACZDoAAEUAAAdoKAHu,X2接口故障告警
2020-03-18 10:17:32,ACZDoAAEUAAAdoKAHu,X2接口故障告警
2020-03-18 17:37:48,ACZDoAAEUAAAdoKAHu,X2接口故障告警
2020-03-18 20:02:22,ACZDoAAEUAAAdoKAHu,X2接口故障告警
2020-03-18 20:27:06,ACZDoAAEUAAAdoKAHu,X2接口故障告警
2020-03-18 20:51:06,ACZDoAAEUAAAdoKAHu,X2接口故障告警
2020-03-18 20:58:49,ACZDoAAEUAAAdoKAHu,X2接口故障告警
2020-03-18 21:00:22,ACZDoAAEUAAAdoKAHu,X2接口故障告警
2020-03-18 21:27:19,ACZDoAAEUAAAdoKAHu,X2接口故障告警
2020-03-18 21:42:24,ACZDoAAEUAAAdoKAHu,X2接口故障告警
2020-03-18 21:51:19,ACZDoAAEUAAAdoKAHu,X2接口故障告警
2020-03-18 21:52:57,ACZDoAAEUAAAdoKAHu,X2接口故障告警
2020-03-18 21:58:23,ACZDoAAEUAAAdoKAHu,X2接口故障告警
2020-03-18 22:16:00,ACZDoAAEUAAAdoKAHu,X2接口故障告警
2020-03-18 22:26:56,ACZDoAAEUAAAdoKAHu,X2接口故障告警
2020-03-18 22:28:32,ACZDoAAEUAAAdoKAHu,X2接口故障告警
2020-03-18 22:52:11,ACZDoAAEUAAAdoKAHu,X2接口故障告警
2020-03-18 23:20:45,ACZDoAAEUAAAdoKAHu,X2接口故障告警
2020-03-19 12:23:02,ACZDoAAEUAAAdoKAHu,X2接口故障告警
2020-03-19 12:37:39,ACZDoAAEUAAAdoKAHu,X2接口故障告警
