告警开始时间,基站名称,告警名称
2020-03-16 00:45:00,ACZDoAAEUAAAdoKAJI,[省内]4G小区状态异常
2020-03-16 00:45:00,ACZDoAAEUAAAdoKAJI,[省内]4G小区状态异常
2020-03-16 00:45:00,ACZDoAAEUAAAdoKAJI,[省内]4G小区状态异常
2020-03-16 01:45:00,ACZDoAAEUAAAdoKAJI,[省内]4G小区状态异常
2020-03-17 00:45:00,ACZDoAAEUAAAdoKAJI,[省内]4G小区状态异常
2020-03-17 00:45:00,ACZDoAAEUAAAdoKAJI,[省内]4G小区状态异常
2020-03-17 00:45:00,ACZDoAAEUAAAdoKAJI,[省内]4G小区状态异常
2020-03-17 04:15:00,ACZDoAAEUAAAdoKAJI,[省内]4G小区状态异常
2020-03-17 08:55:16,ACZDoAAEUAAAdoKAJI,用户面承载链路故障告警
2020-03-18 00:15:00,ACZDoAAEUAAAdoKAJI,[省内]4G小区状态异常
2020-03-18 00:15:00,ACZDoAAEUAAAdoKAJI,[省内]4G小区状态异常
2020-03-18 00:45:00,ACZDoAAEUAAAdoKAJI,[省内]4G小区状态异常
2020-03-18 01:45:00,ACZDoAAEUAAAdoKAJI,[省内]4G小区状态异常
2020-03-18 01:45:00,ACZDoAAEUAAAdoKAJI,[省内]4G小区状态异常
2020-03-18 03:15:00,ACZDoAAEUAAAdoKAJI,[省内]4G小区状态异常
2020-03-19 00:15:00,ACZDoAAEUAAAdoKAJI,[省内]4G小区状态异常
2020-03-19 00:15:00,ACZDoAAEUAAAdoKAJI,[省内]4G小区状态异常
2020-03-19 02:45:00,ACZDoAAEUAAAdoKAJI,[省内]4G小区状态异常
2020-03-19 03:45:00,ACZDoAAEUAAAdoKAJI,[省内]4G小区状态异常
2020-03-20 00:45:00,ACZDoAAEUAAAdoKAJI,[省内]4G小区状态异常
2020-03-20 01:15:00,ACZDoAAEUAAAdoKAJI,[省内]4G小区状态异常
2020-03-20 01:45:00,ACZDoAAEUAAAdoKAJI,[省内]4G小区状态异常
2020-03-20 03:15:00,ACZDoAAEUAAAdoKAJI,[省内]4G小区状态异常
2020-03-21 00:45:00,ACZDoAAEUAAAdoKAJI,[省内]4G小区状态异常
2020-03-21 00:45:00,ACZDoAAEUAAAdoKAJI,[省内]4G小区状态异常
2020-03-21 00:45:00,ACZDoAAEUAAAdoKAJI,[省内]4G小区状态异常
2020-03-21 03:15:00,ACZDoAAEUAAAdoKAJI,[省内]4G小区状态异常
2020-03-22 00:15:00,ACZDoAAEUAAAdoKAJI,[省内]4G小区状态异常
2020-03-22 00:15:00,ACZDoAAEUAAAdoKAJI,[省内]4G小区状态异常
2020-03-22 01:45:00,ACZDoAAEUAAAdoKAJI,[省内]4G小区状态异常
2020-03-22 02:45:00,ACZDoAAEUAAAdoKAJI,[省内]4G小区状态异常
2020-03-22 02:45:00,ACZDoAAEUAAAdoKAJI,[省内]4G小区状态异常
